Total Nacional;Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Total Nacional;01 Andalucía;De 15 a 29 años;Mujeres;2020;2,074
Total Nacional;01 Andalucía;De 15 a 29 años;Mujeres;2019;2,084
Total Nacional;01 Andalucía;De 15 a 29 años;Mujeres;2018;1,343
Total Nacional;01 Andalucía;De 30 a 39 años;Total;2021;4,275
Total Nacional;01 Andalucía;De 30 a 39 años;Total;2020;3,590
Total Nacional;01 Andalucía;De 30 a 39 años;Total;2019;3,504
Total Nacional;01 Andalucía;De 30 a 39 años;Total;2018;3,159
Total Nacional;01 Andalucía;De 30 a 39 años;Hombres;2021;7,419
Total Nacional;01 Andalucía;De 30 a 39 años;Hombres;2020;5,919
Total Nacional;01 Andalucía;De 30 a 39 años;Hombres;2019;6,120
Total Nacional;01 Andalucía;De 30 a 39 años;Hombres;2018;5,782
Total Nacional;01 Andalucía;De 30 a 39 años;Mujeres;2021;1,097
Total Nacional;01 Andalucía;De 30 a 39 años;Mujeres;2020;1,257
Total Nacional;01 Andalucía;De 30 a 39 años;Mujeres;2019;0,878
Total Nacional;01 Andalucía;De 30 a 39 años;Mujeres;2018;0,514
Total Nacional;01 Andalucía;De 40 a 44 años;Total;2021;4,489
Total Nacional;01 Andalucía;De 40 a 44 años;Total;2020;3,299
Total Nacional;01 Andalucía;De 40 a 44 años;Total;2019;3,709
Total Nacional;01 Andalucía;De 40 a 44 años;Total;2018;4,000
Total Nacional;01 Andalucía;De 40 a 44 años;Hombres;2021;8,046
Total Nacional;01 Andalucía;De 40 a 44 años;Hombres;2020;5,979
Total Nacional;01 Andalucía;De 40 a 44 años;Hombres;2019;6,499
Total Nacional;01 Andalucía;De 40 a 44 años;Hombres;2018;7,062
Total Nacional;01 Andalucía;De 40 a 44 años;Mujeres;2021;0,876
Total Nacional;01 Andalucía;De 40 a 44 años;Mujeres;2020;0,578
Total Nacional;01 Andalucía;De 40 a 44 años;Mujeres;2019;0,865
Total Nacional;01 Andalucía;De 40 a 44 años;Mujeres;2018;0,867
Total Nacional;01 Andalucía;De 45 a 49 años;Total;2021;4,898
Total Nacional;01 Andalucía;De 45 a 49 años;Total;2020;3,357
Total Nacional;01 Andalucía;De 45 a 49 años;Total;2019;5,161
Total Nacional;01 Andalucía;De 45 a 49 años;Total;2018;2,080
Total Nacional;01 Andalucía;De 45 a 49 años;Hombres;2021;8,592
Total Nacional;01 Andalucía;De 45 a 49 años;Hombres;2020;6,385
Total Nacional;01 Andalucía;De 45 a 49 años;Hombres;2019;9,963
Total Nacional;01 Andalucía;De 45 a 49 años;Hombres;2018;4,133
Total Nacional;01 Andalucía;De 45 a 49 años;Mujeres;2021;1,159
Total Nacional;01 Andalucía;De 45 a 49 años;Mujeres;2020;0,294
Total Nacional;01 Andalucía;De 45 a 49 años;Mujeres;2019;0,297
Total Nacional;01 Andalucía;De 45 a 49 años;Mujeres;2018;0,000
Total Nacional;01 Andalucía;De 50 a 54 años;Total;2021;4,643
Total Nacional;01 Andalucía;De 50 a 54 años;Total;2020;3,156
Total Nacional;01 Andalucía;De 50 a 54 años;Total;2019;4,522
Total Nacional;01 Andalucía;De 50 a 54 años;Total;2018;3,794
Total Nacional;01 Andalucía;De 50 a 54 años;Hombres;2021;8,733
Total Nacional;01 Andalucía;De 50 a 54 años;Hombres;2020;5,436
Total Nacional;01 Andalucía;De 50 a 54 años;Hombres;2019;6,973
Total Nacional;01 Andalucía;De 50 a 54 años;Hombres;2018;5,492
Total Nacional;01 Andalucía;De 50 a 54 años;Mujeres;2021;0,596
Total Nacional;01 Andalucía;De 50 a 54 años;Mujeres;2020;0,898
Total Nacional;01 Andalucía;De 50 a 54 años;Mujeres;2019;2,099
Total Nacional;01 Andalucía;De 50 a 54 años;Mujeres;2018;2,114
Total Nacional;01 Andalucía;De 55 a 59 años;Total;2021;3,517
Total Nacional;01 Andalucía;De 55 a 59 años;Total;2020;3,597
Total Nacional;01 Andalucía;De 55 a 59 años;Total;2019;4,379
Total Nacional;01 Andalucía;De 55 a 59 años;Total;2018;3,652
Total Nacional;01 Andalucía;De 55 a 59 años;Hombres;2021;6,832
Total Nacional;01 Andalucía;De 55 a 59 años;Hombres;2020;5,971
Total Nacional;01 Andalucía;De 55 a 59 años;Hombres;2019;7,851
Total Nacional;01 Andalucía;De 55 a 59 años;Hombres;2018;6,334
Total Nacional;01 Andalucía;De 55 a 59 años;Mujeres;2021;0,314
Total Nacional;01 Andalucía;De 55 a 59 años;Mujeres;2020;1,289
Total Nacional;01 Andalucía;De 55 a 59 años;Mujeres;2019;0,997
Total Nacional;01 Andalucía;De 55 a 59 años;Mujeres;2018;1,031
Total Nacional;01 Andalucía;De 60 a 64 años;Total;2021;4,454
Total Nacional;01 Andalucía;De 60 a 64 años;Total;2020;3,455
Total Nacional;01 Andalucía;De 60 a 64 años;Total;2019;4,806
Total Nacional;01 Andalucía;De 60 a 64 años;Total;2018;2,932
Total Nacional;01 Andalucía;De 60 a 64 años;Hombres;2021;7,241
Total Nacional;01 Andalucía;De 60 a 64 años;Hombres;2020;5,507
Total Nacional;01 Andalucía;De 60 a 64 años;Hombres;2019;8,622
Total Nacional;01 Andalucía;De 60 a 64 años;Hombres;2018;5,151
Total Nacional;01 Andalucía;De 60 a 64 años;Mujeres;2021;1,809
Total Nacional;01 Andalucía;De 60 a 64 años;Mujeres;2020;1,499
Total Nacional;01 Andalucía;De 60 a 64 años;Mujeres;2019;1,173
Total Nacional;01 Andalucía;De 60 a 64 años;Mujeres;2018;0,818
Total Nacional;01 Andalucía;De 65 a 69 años;Total;2021;5,571
Total Nacional;01 Andalucía;De 65 a 69 años;Total;2020;3,839
Total Nacional;01 Andalucía;De 65 a 69 años;Total;2019;5,434
Total Nacional;01 Andalucía;De 65 a 69 años;Total;2018;3,500
Total Nacional;01 Andalucía;De 65 a 69 años;Hombres;2021;7,742
Total Nacional;01 Andalucía;De 65 a 69 años;Hombres;2020;6,479
Total Nacional;01 Andalucía;De 65 a 69 años;Hombres;2019;8,206
Total Nacional;01 Andalucía;De 65 a 69 años;Hombres;2018;4,157
Total Nacional;01 Andalucía;De 65 a 69 años;Mujeres;2021;3,570
Total Nacional;01 Andalucía;De 65 a 69 años;Mujeres;2020;1,388
Total Nacional;01 Andalucía;De 65 a 69 años;Mujeres;2019;2,859
Total Nacional;01 Andalucía;De 65 a 69 años;Mujeres;2018;2,892
Total Nacional;01 Andalucía;De 70 a 74 años;Total;2021;1,926
Total Nacional;01 Andalucía;De 70 a 74 años;Total;2020;3,562
Total Nacional;01 Andalucía;De 70 a 74 años;Total;2019;4,107
Total Nacional;01 Andalucía;De 70 a 74 años;Total;2018;3,910
Total Nacional;01 Andalucía;De 70 a 74 años;Hombres;2021;4,143
Total Nacional;01 Andalucía;De 70 a 74 años;Hombres;2020;5,894
Total Nacional;01 Andalucía;De 70 a 74 años;Hombres;2019;6,483
Total Nacional;01 Andalucía;De 70 a 74 años;Hombres;2018;6,013
Total Nacional;01 Andalucía;De 70 a 74 años;Mujeres;2021;0,000
Total Nacional;01 Andalucía;De 70 a 74 años;Mujeres;2020;1,536
Total Nacional;01 Andalucía;De 70 a 74 años;Mujeres;2019;2,046
Total Nacional;01 Andalucía;De 70 a 74 años;Mujeres;2018;2,086
Total Nacional;01 Andalucía;De 75 a 79 años;Total;2021;5,754
Total Nacional;01 Andalucía;De 75 a 79 años;Total;2020;7,615
Total Nacional;01 Andalucía;De 75 a 79 años;Total;2019;4,677
Total Nacional;01 Andalucía;De 75 a 79 años;Total;2018;4,215
Total Nacional;01 Andalucía;De 75 a 79 años;Hombres;2021;11,470
Total Nacional;01 Andalucía;De 75 a 79 años;Hombres;2020;11,707
Total Nacional;01 Andalucía;De 75 a 79 años;Hombres;2019;7,335
Total Nacional;01 Andalucía;De 75 a 79 años;Hombres;2018;6,994
Total Nacional;01 Andalucía;De 75 a 79 años;Mujeres;2021;1,215
Total Nacional;01 Andalucía;De 75 a 79 años;Mujeres;2020;4,354
Total Nacional;01 Andalucía;De 75 a 79 años;Mujeres;2019;2,576
Total Nacional;01 Andalucía;De 75 a 79 años;Mujeres;2018;2,047
Total Nacional;01 Andalucía;De 80 a 84 años;Total;2021;4,422
Total Nacional;01 Andalucía;De 80 a 84 años;Total;2020;5,336
Total Nacional;01 Andalucía;De 80 a 84 años;Total;2019;5,826
Total Nacional;01 Andalucía;De 80 a 84 años;Total;2018;4,699
Total Nacional;01 Andalucía;De 80 a 84 años;Hombres;2021;9,779
Total Nacional;01 Andalucía;De 80 a 84 años;Hombres;2020;10,859
Total Nacional;01 Andalucía;De 80 a 84 años;Hombres;2019;8,497
Total Nacional;01 Andalucía;De 80 a 84 años;Hombres;2018;8,227
Total Nacional;01 Andalucía;De 80 a 84 años;Mujeres;2021;0,822
Total Nacional;01 Andalucía;De 80 a 84 años;Mujeres;2020;1,623
Total Nacional;01 Andalucía;De 80 a 84 años;Mujeres;2019;4,046
Total Nacional;01 Andalucía;De 80 a 84 años;Mujeres;2018;2,349
Total Nacional;01 Andalucía;De 85 a 89 años;Total;2021;2,095
Total Nacional;01 Andalucía;De 85 a 89 años;Total;2020;7,052
Total Nacional;01 Andalucía;De 85 a 89 años;Total;2019;5,732
